"","County","State","Lat","Long_","Confirmed","Deaths","Active","Combined_Key","State_popDensity"
"1","Abbeville","South Carolina",34.22333378,-82.46170658,33,0,33,"Abbeville, South Carolina, US",173.3174
"2","Acadia","Louisiana",30.2950649,-92.41419698,140,10,130,"Acadia, Louisiana, US",107.5175
"3","Accomack","Virginia",37.76707161,-75.63234615,429,7,422,"Accomack, Virginia, US",218.4403
"4","Ada","Idaho",43.4526575,-116.2415516,717,19,698,"Ada, Idaho, US",22.0969
"5","Adair","Iowa",41.33075609,-94.47105874,3,0,3,"Adair, Iowa, US",56.9284
"6","Adair","Kentucky",37.10459774,-85.28129668,82,13,69,"Adair, Kentucky, US",113.9566
"7","Adair","Missouri",40.19058551,-92.60078167,12,0,12,"Adair, Missouri, US",89.7453
"8","Adair","Oklahoma",35.88494195,-94.65859267,68,3,65,"Adair, Oklahoma, US",57.6547
"9","Adams","Colorado",39.87432092,-104.3362578,1952,75,1877,"Adams, Colorado, US",56.4011
"10","Adams","Idaho",44.89333571,-116.4545247,3,0,3,"Adams, Idaho, US",22.0969
"11","Adams","Illinois",39.98815591,-91.18786813,40,1,39,"Adams, Illinois, US",228.0243
"12","Adams","Indiana",40.7457653,-84.93671406,8,1,7,"Adams, Indiana, US",188.281
"13","Adams","Mississippi",31.47669768,-91.35326037,154,10,144,"Adams, Mississippi, US",63.7056
"14","Adams","Nebraska",40.5244942,-98.50117804,212,3,209,"Adams, Nebraska, US",25.4161
"15","Adams","Ohio",38.84541072,-83.4718964,5,0,5,"Adams, Ohio, US",287.5038
"16","Adams","Pennsylvania",39.87140411,-77.21610347,148,5,143,"Adams, Pennsylvania, US",286.5449
"17","Adams","Washington",46.98299757,-118.5601734,49,0,49,"Adams, Washington, US",117.3272
"18","Adams","Wisconsin",43.96974651,-89.76782777,4,1,3,"Adams, Wisconsin, US",108.0497
"19","Addison","Vermont",44.03217337,-73.14130877,61,2,59,"Addison, Vermont, US",68.1416
"20","Aiken","South Carolina",33.54338026,-81.63645384,108,6,102,"Aiken, South Carolina, US",173.3174
"21","Aitkin","Minnesota",46.60962049,-93.4116826,1,0,1,"Aitkin, Minnesota, US",71.5922
"22","Alachua","Florida",29.67866525,-82.35928158,295,5,290,"Alachua, Florida, US",410.1256
"23","Alamance","North Carolina",36.0434701,-79.39976137,128,3,125,"Alamance, North Carolina, US",218.2702
"24","Alameda","California",37.64629437,-121.8929271,1863,66,1797,"Alameda, California, US",256.3727
"25","Alamosa","Colorado",37.57250606,-105.7885451,22,2,20,"Alamosa, Colorado, US",56.4011
"26","Albany","New York",42.60060306,-73.97723916,1321,53,1268,"Albany, New York, US",412.5211
"27","Albany","Wyoming",41.65498705,-105.7235415,8,0,8,"Albany, Wyoming, US",5.84
"28","Albemarle","Virginia",38.02080697,-78.55481085,110,4,106,"Albemarle, Virginia, US",218.4403
"29","Alcona","Michigan",44.6846864,-83.59507875,4,1,3,"Alcona, Michigan, US",177.6655
"30","Alcorn","Mississippi",34.88084463,-88.57996173,10,1,9,"Alcorn, Mississippi, US",63.7056
"31","Alexander","Illinois",37.18049267,-89.32910838,6,0,6,"Alexander, Illinois, US",228.0243
"32","Alexander","North Carolina",35.9223796,-81.17751948,6,0,6,"Alexander, North Carolina, US",218.2702
"33","Alexandria","Virginia",38.814003,-77.08183073,983,26,957,"Alexandria, Virginia, US",218.4403
"34","Alfalfa","Oklahoma",36.73090616,-98.32408495,1,0,1,"Alfalfa, Oklahoma, US",57.6547
"35","Allamakee","Iowa",43.28383218,-91.37860922,98,4,94,"Allamakee, Iowa, US",56.9284
"36","Allegan","Michigan",42.59147037,-85.89102866,124,2,122,"Allegan, Michigan, US",177.6655
"37","Allegany","Maryland",39.62357628,-78.69280486,129,12,117,"Allegany, Maryland, US",626.6731
"38","Allegany","New York",42.25748406,-78.02750466,35,0,35,"Allegany, New York, US",412.5211
"39","Alleghany","North Carolina",36.49360862,-81.12857041,7,0,7,"Alleghany, North Carolina, US",218.2702
"40","Alleghany","Virginia",37.78636074,-80.00222498,6,0,6,"Alleghany, Virginia, US",218.4403
"41","Allegheny","Pennsylvania",40.46809875,-79.98167747,1394,111,1283,"Allegheny, Pennsylvania, US",286.5449
"42","Allen","Indiana",41.09194313,-85.06800636,718,56,662,"Allen, Indiana, US",188.281
"43","Allen","Kentucky",36.75197631,-86.19457544,19,0,19,"Allen, Kentucky, US",113.9566
"44","Allen","Louisiana",30.65385745,-92.82442028,90,9,81,"Allen, Louisiana, US",107.5175
"45","Allen","Ohio",40.77285242,-84.10802343,139,28,111,"Allen, Ohio, US",287.5038
"46","Allendale","South Carolina",32.98837386,-81.35321066,18,2,16,"Allendale, South Carolina, US",173.3174
"47","Alpena","Michigan",45.03477666,-83.62212411,86,7,79,"Alpena, Michigan, US",177.6655
"48","Alpine","California",38.59678594,-119.8223594,2,0,2,"Alpine, California, US",256.3727
"49","Amador","California",38.44583082,-120.65696,8,0,8,"Amador, California, US",256.3727
"50","Amelia","Virginia",37.34081025,-77.98584649,18,1,17,"Amelia, Virginia, US",218.4403
"51","Amherst","Virginia",37.60308293,-79.14548696,15,0,15,"Amherst, Virginia, US",218.4403
"52","Amite","Mississippi",31.17467303,-90.80501621,32,0,32,"Amite, Mississippi, US",63.7056
"53","Anchorage","Alaska",61.14998174,-149.1426986,190,4,186,"Anchorage, Alaska, US",1.2863
"54","Anderson","Kansas",38.21413251,-95.29272815,0,0,0,"Anderson, Kansas, US",35.5968
"55","Anderson","Kentucky",38.00671029,-84.99171713,9,1,8,"Anderson, Kentucky, US",113.9566
"56","Anderson","South Carolina",34.51828081,-82.63959517,173,8,165,"Anderson, South Carolina, US",173.3174
"57","Anderson","Tennessee",36.12684348,-84.19965764,29,1,28,"Anderson, Tennessee, US",167.2748
"58","Anderson","Texas",31.81534745,-95.65354823,40,0,40,"Anderson, Texas, US",112.8204
"59","Andrew","Missouri",39.98492163,-94.80163024,6,0,6,"Andrew, Missouri, US",89.7453
"60","Andrews","Texas",32.30468633,-102.6376548,21,0,21,"Andrews, Texas, US",112.8204
"61","Androscoggin","Maine",44.1664747,-70.20380627,67,2,65,"Androscoggin, Maine, US",43.6336
"62","Angelina","Texas",31.25457347,-94.60901487,86,0,86,"Angelina, Texas, US",112.8204
"63","Anne Arundel","Maryland",39.00670238,-76.60329337,2085,108,1977,"Anne Arundel, Maryland, US",626.6731
"64","Anoka","Minnesota",45.27476015,-93.24604565,382,24,358,"Anoka, Minnesota, US",71.5922
"65","Anson","North Carolina",34.97403241,-80.09953279,31,0,31,"Anson, North Carolina, US",218.2702
"66","Antelope","Nebraska",42.17695516,-98.0666283,4,0,4,"Antelope, Nebraska, US",25.4161
"67","Antrim","Michigan",44.99690221,-85.15503082,10,0,10,"Antrim, Michigan, US",177.6655
"68","Apache","Arizona",35.39465006,-109.4892383,612,7,605,"Apache, Arizona, US",64.955
"69","Appanoose","Iowa",40.74324454,-92.86865906,4,3,1,"Appanoose, Iowa, US",56.9284
"70","Appling","Georgia",31.74847232,-82.28909114,78,10,68,"Appling, Georgia, US",186.6719
"71","Appomattox","Virginia",37.37569884,-78.81340003,21,0,21,"Appomattox, Virginia, US",218.4403
"72","Aransas","Texas",28.10556197,-96.9995047,2,0,2,"Aransas, Texas, US",112.8204
"73","Arapahoe","Colorado",39.64977461,-104.3353617,2977,167,2810,"Arapahoe, Colorado, US",56.4011
"74","Archuleta","Colorado",37.19474156,-107.0476867,8,0,8,"Archuleta, Colorado, US",56.4011
"75","Arenac","Michigan",44.0636262,-83.89277559,27,1,26,"Arenac, Michigan, US",177.6655
"76","Arkansas","Arkansas",34.29145151,-91.37277296,2,0,2,"Arkansas, Arkansas, US",58.403
"77","Arlington","Virginia",38.8767675,-77.10139853,1169,49,1120,"Arlington, Virginia, US",218.4403
"78","Armstrong","Pennsylvania",40.81665618,-79.46290811,55,3,52,"Armstrong, Pennsylvania, US",286.5449
"79","Armstrong","Texas",34.96507426,-101.3574874,2,0,2,"Armstrong, Texas, US",112.8204
"80","Aroostook","Maine",46.65926321,-68.59841248,6,0,6,"Aroostook, Maine, US",43.6336
"81","Arthur","Nebraska",41.56896142,-101.6959559,0,0,0,"Arthur, Nebraska, US",25.4161
"82","Ascension","Louisiana",30.20406249,-90.9132841,664,44,620,"Ascension, Louisiana, US",107.5175
"83","Ashe","North Carolina",36.43296207,-81.49862729,5,0,5,"Ashe, North Carolina, US",218.2702
"84","Ashland","Ohio",40.84772277,-82.27280781,12,0,12,"Ashland, Ohio, US",287.5038
"85","Ashland","Wisconsin",46.31956891,-90.67837132,2,0,2,"Ashland, Wisconsin, US",108.0497
"86","Ashley","Arkansas",33.19153461,-91.7698471,17,0,17,"Ashley, Arkansas, US",58.403
"87","Ashtabula","Ohio",41.70860332,-80.74830218,165,17,148,"Ashtabula, Ohio, US",287.5038
"88","Asotin","Washington",46.18894415,-117.2022851,18,2,16,"Asotin, Washington, US",117.3272
"89","Assumption","Louisiana",29.89946234,-91.06461642,203,8,195,"Assumption, Louisiana, US",107.5175
"90","Atascosa","Texas",28.89333001,-98.52730485,21,1,20,"Atascosa, Texas, US",112.8204
"91","Atchison","Kansas",39.53185661,-95.30870026,12,0,12,"Atchison, Kansas, US",35.5968
"92","Atchison","Missouri",40.43238737,-95.42970639,2,0,2,"Atchison, Missouri, US",89.7453
"93","Athens","Ohio",39.33425634,-82.04278644,4,1,3,"Athens, Ohio, US",287.5038
"94","Atkinson","Georgia",31.29633502,-82.87545866,17,1,16,"Atkinson, Georgia, US",186.6719
"95","Atlantic","New Jersey",39.47538693,-74.65848483,1246,54,1192,"Atlantic, New Jersey, US",1215.1991
"96","Atoka","Oklahoma",34.37366573,-96.03802487,1,0,1,"Atoka, Oklahoma, US",57.6547
"97","Attala","Mississippi",33.08658803,-89.57838564,159,3,156,"Attala, Mississippi, US",63.7056
"98","Audrain","Missouri",39.215877,-91.84242683,1,0,1,"Audrain, Missouri, US",89.7453
"99","Audubon","Iowa",41.6844628,-94.90581859,8,0,8,"Audubon, Iowa, US",56.9284
"100","Auglaize","Ohio",40.55998859,-84.2242143,36,3,33,"Auglaize, Ohio, US",287.5038
"101","Augusta","Virginia",38.16404586,-79.12461614,47,1,46,"Augusta, Virginia, US",218.4403
"102","Aurora","South Dakota",43.71757685,-98.56050467,1,0,1,"Aurora, South Dakota, US",11.9116
"103","Austin","Texas",29.88548725,-96.27736949,14,0,14,"Austin, Texas, US",112.8204
"104","Autauga","Alabama",32.53952745,-86.64408227,58,3,55,"Autauga, Alabama, US",96.9221
"105","Avoyelles","Louisiana",31.07796211,-92.00079449,74,7,67,"Avoyelles, Louisiana, US",107.5175
"106","Baca","Colorado",37.31940883,-102.5603223,12,0,12,"Baca, Colorado, US",56.4011
"107","Bacon","Georgia",31.55456473,-82.45936528,29,1,28,"Bacon, Georgia, US",186.6719
"108","Bailey","Texas",34.06854817,-102.8299707,2,0,2,"Bailey, Texas, US",112.8204
"109","Baker","Florida",30.33060121,-82.28467476,22,3,19,"Baker, Florida, US",410.1256
"110","Baker","Georgia",31.32669878,-84.44218806,28,2,26,"Baker, Georgia, US",186.6719
"111","Baker","Oregon",44.70915557,-117.6749883,1,0,1,"Baker, Oregon, US",44.8086
"112","Baldwin","Alabama",30.72774991,-87.72207058,196,5,191,"Baldwin, Alabama, US",96.9221
"113","Baldwin","Georgia",33.06882326,-83.24701748,263,10,253,"Baldwin, Georgia, US",186.6719
"114","Ballard","Kentucky",37.05842757,-88.99427697,8,0,8,"Ballard, Kentucky, US",113.9566
"115","Baltimore","Maryland",39.45784712,-76.62911955,3527,163,3364,"Baltimore, Maryland, US",626.6731
"116","Baltimore City","Maryland",39.30211911,-76.61151012,2752,140,2612,"Baltimore City, Maryland, US",626.6731
"117","Bamberg","South Carolina",33.21927586,-81.05659969,14,0,14,"Bamberg, South Carolina, US",173.3174
"118","Bandera","Texas",29.74619598,-99.24598147,6,0,6,"Bandera, Texas, US",112.8204
"119","Banks","Georgia",34.35607081,-83.49644388,32,0,32,"Banks, Georgia, US",186.6719
"120","Bannock","Idaho",42.67002716,-112.2233311,12,0,12,"Bannock, Idaho, US",22.0969
"121","Baraga","Michigan",46.6720582,-88.36363591,1,0,1,"Baraga, Michigan, US",177.6655
"122","Barber","Kansas",37.2288586,-98.68460053,1,0,1,"Barber, Kansas, US",35.5968
"123","Barbour","Alabama",31.868263,-85.3871286,47,1,46,"Barbour, Alabama, US",96.9221
"124","Barbour","West Virginia",39.1307219,-80.00350858,6,1,5,"Barbour, West Virginia, US",73.9691
"125","Barnes","North Dakota",46.93579637,-98.06605978,4,0,4,"Barnes, North Dakota, US",11.0393
"126","Barnstable","Massachusetts",41.72980578,-70.28854339,997,55,942,"Barnstable, Massachusetts, US",894.4355
"127","Barnwell","South Carolina",33.26679302,-81.43584352,28,0,28,"Barnwell, South Carolina, US",173.3174
"128","Barren","Kentucky",36.96469836,-85.93338945,22,0,22,"Barren, Kentucky, US",113.9566
"129","Barron","Wisconsin",45.42372701,-91.84833627,7,0,7,"Barron, Wisconsin, US",108.0497
"130","Barrow","Georgia",33.99148694,-83.71436292,197,5,192,"Barrow, Georgia, US",186.6719
"131","Barry","Michigan",42.59513984,-85.30834519,39,1,38,"Barry, Michigan, US",177.6655
"132","Barry","Missouri",36.70978521,-93.82919888,5,0,5,"Barry, Missouri, US",89.7453
"133","Bartholomew","Indiana",39.20744865,-85.89558181,314,19,295,"Bartholomew, Indiana, US",188.281
"134","Barton","Kansas",38.47889676,-98.75636726,12,1,11,"Barton, Kansas, US",35.5968
"135","Bartow","Georgia",34.23732119,-84.83887523,359,32,327,"Bartow, Georgia, US",186.6719
"136","Bastrop","Texas",30.10370699,-97.31206354,100,2,98,"Bastrop, Texas, US",112.8204
"137","Bates","Missouri",38.25271289,-94.34113157,6,1,5,"Bates, Missouri, US",89.7453
"138","Bath","Kentucky",38.14735938,-83.74588932,4,1,3,"Bath, Kentucky, US",113.9566
"139","Bath","Virginia",38.05852573,-79.73912095,0,0,0,"Bath, Virginia, US",218.4403
